Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Michael Gordon,0.63,0.48,0.52,0.59,0.0,2.22,57
Sharon Faines,1.0,0.29,0.0,0.04,0.0,1.33,43
Shawn Mckinney,0.0,0.0,0.73,0.53,1.0,2.26,39
William Barry,0.22,0.14,1.0,0.54,0.03,1.93,31
Cesar Juarez,0.47,0.23,0.37,1.0,1.0,3.07,96
Timothy Tyler,0.3,0.43,0.0,0.19,1.0,1.92,60
Andrew Collins,0.37,0.66,0.0,0.16,0.0,1.19,57
Jose Grizzard,1.0,0.06,0.66,0.53,0.0,2.25,34
John Truax,0.0,0.0,0.91,0.58,1.0,2.49,32
Dustin Lester,0.19,0.0,0.35,0.0,0.31,0.85,55
Karen Miller,0.92,0.28,0.67,0.0,0.34,2.21,49
Barrett Richardson,0.02,0.58,0.35,0.13,0.49,1.57,52
Maria Mcmillan,0.12,0.35,0.87,0.34,0.17,1.85,55
Jo Merriam,0.31,0.56,0.54,0.11,0.58,2.1,57
Erica Saunders,0.49,0.23,0.53,0.18,0.0,1.43,60
Jason Mullins,0.25,0.49,0.4,0.0,0.47,1.61,41
Nathaniel Jaime,0.0,0.35,0.0,0.19,0.9,1.44,47
Sallie Cordon,0.71,0.38,0.54,0.28,0.32,2.23,30
Patrick Ackerman,0.79,0.69,0.0,0.16,0.0,1.64,43
Archie Gowan,1.0,0.54,0.69,0.0,0.07,2.3,38
Ronald Jones,0.09,0.85,0.38,0.35,0.48,2.15,66
Sallie Corona,0.0,0.44,0.63,0.25,0.85,2.17,30
Aubrey Santana,0.0,0.23,1.0,0.67,0.19,2.09,34
Erma Bishop,0.0,0.12,1.0,1.0,0.0,2.12,65
Mario Rickman,0.0,0.77,0.0,0.72,0.57,2.06,53
Dorothy Fitzgerald,0.23,1.0,0.23,0.38,0.0,1.84,38
Christopher Glennon,0.24,0.02,0.11,1.0,0.0,1.37,61
Howard Davis,0.04,0.38,0.0,0.29,0.0,0.71,33
Linwood Nelson,0.0,0.35,0.0,0.93,0.0,1.28,39
Frances Willis,0.7,0.64,0.0,0.0,0.67,2.01,63
Joe Stevenson,0.24,0.6,0.0,0.92,0.0,1.76,43
Olive Welk,0.73,0.0,0.0,0.6,0.0,1.33,61
Marc Tran,0.06,1.0,0.24,1.0,1.0,3.3,81
Fernando Harsh,0.75,0.51,0.34,0.75,0.32,2.67,58
Shawn Fournier,0.0,0.79,0.45,0.43,1.0,2.67,66
Iva Mccrary,1.0,1.0,0.0,1.0,0.78,3.78,93
Kathleen Piercy,1.0,0.0,0.06,1.0,0.15,2.21,67
Anthony Gans,0.65,0.23,0.52,0.32,0.37,2.09,48
Douglas Stubbs,0.0,0.0,0.96,0.07,0.44,1.47,44
Victoria Stepp,0.0,0.84,1.0,0.0,0.0,1.84,31
Peter Patterson,0.29,0.77,1.0,0.32,1.0,3.38,97
Martin Premo,0.87,0.66,0.01,0.0,0.13,1.67,56
Allan Johnson,0.57,0.63,0.08,0.03,1.0,2.31,65
Christina Weinberger,0.0,0.25,0.99,0.38,0.95,2.57,54
Joseph Erickson,0.39,0.18,0.82,0.89,0.0,2.28,41
Cynthia Bennett,1.0,1.0,0.24,0.68,0.0,2.92,78
Michael Anselmo,0.42,0.19,0.46,0.86,0.0,1.93,61
Joan Raybuck,0.2,0.0,0.99,0.29,0.11,1.59,32
Michael Bourgeois,0.8,0.74,0.89,0.18,0.1,2.71,73
Teresa Plotkin,0.56,0.25,0.33,0.19,0.84,2.17,51
Jane Crowe,0.21,0.31,0.33,0.0,0.52,1.37,41
Heather Oneil,0.55,0.66,0.08,0.11,0.76,2.16,39
Caleb Wixon,0.68,0.0,0.0,0.48,0.73,1.89,68
Julie Hupper,0.0,0.0,0.34,0.49,0.0,0.83,45
Cathy Richardson,0.76,0.0,0.56,0.0,0.46,1.78,55
Olga Embry,1.0,0.16,0.0,0.46,0.0,1.62,48
Anna Lakes,0.05,0.87,0.2,0.0,0.62,1.74,68
Roy Anderson,0.51,0.86,0.4,0.53,0.59,2.89,95
Irene Cavaretta,1.0,0.2,0.0,0.17,0.6,1.97,34
Norman Hernandez,0.0,0.16,0.0,0.57,0.71,1.44,30
Oliver Hoffman,0.84,0.9,0.47,0.87,0.92,4.0,97
Martha Rapier,0.22,0.08,0.98,0.81,0.61,2.7,63
Margie Smith,0.3,0.59,0.27,0.35,0.33,1.84,61
Stella Freeman,0.55,0.14,1.0,0.16,1.0,2.85,92
Henry Plourde,0.21,0.49,0.79,0.63,0.67,2.79,86
Brian Gibson,1.0,0.77,0.51,0.75,0.42,3.45,80
Victoria Turner,0.48,0.49,0.5,0.43,0.0,1.9,61
Alan Lindsay,0.13,0.0,0.55,0.25,1.0,1.93,56
Hans Wadley,0.47,0.0,0.88,0.2,0.78,2.33,60
Katherine Surgeon,0.14,1.0,1.0,0.37,0.22,2.73,77
David Harris,0.06,0.62,1.0,0.45,0.54,2.67,46
Marvin Wilcher,0.65,0.32,0.51,0.34,0.27,2.09,35
Ernesto Stamey,0.71,0.91,0.0,0.0,0.39,2.01,31
John Mojica,1.0,0.38,0.0,0.49,0.0,1.87,43
Jacquelyn Furfaro,0.0,0.51,0.16,0.67,0.55,1.89,64
Lorraine Pugh,0.07,0.59,0.25,0.0,1.0,1.91,66
Heather Chritton,0.66,0.73,0.0,0.75,0.17,2.31,50
David Kohn,0.94,1.0,0.0,0.17,0.01,2.12,59
Donald Dempsey,0.96,0.38,0.88,0.38,0.0,2.6,35
Nancy Lenz,0.78,0.0,1.0,1.0,0.54,3.32,76
Susan Young,0.9,0.64,0.88,0.19,1.0,3.61,92
Janett Stone,0.54,0.35,0.0,0.84,0.0,1.73,68
Helen Sahota,0.54,0.0,1.0,0.53,0.51,2.58,54
Donald Mcknight,0.0,0.05,0.16,0.64,0.3,1.15,32
Jeanette Cox,0.02,0.85,0.06,0.44,0.11,1.48,45
Lakesha Partch,0.51,0.59,0.21,0.64,0.34,2.29,41
Herman Lozano,0.0,0.0,0.78,1.0,0.84,2.62,66
Faye Lopez,0.69,0.45,1.0,0.71,0.22,3.07,71
Christopher Catledge,0.0,0.71,0.29,1.0,0.0,2.0,31
Martin Crivello,0.55,0.0,0.08,0.5,0.0,1.13,39
Jeremy Romain,0.88,0.41,0.01,0.31,0.48,2.09,34
Edith Wright,0.61,0.84,0.0,0.65,0.0,2.1,47
Darlene Mcinturff,0.0,1.0,0.68,0.38,0.24,2.3,51
Rogelio Merrill,0.0,0.53,0.08,0.2,0.4,1.21,37
Antoinette Clark,0.68,0.55,0.1,0.61,0.42,2.36,47
Eric Betts,0.59,0.56,0.46,0.54,0.0,2.15,62
James Bell,1.0,0.83,0.61,0.16,0.6,3.2,96
Edward Pardo,0.79,0.0,0.0,0.0,0.37,1.16,46
Guy Watland,0.58,0.21,0.0,0.54,0.31,1.64,56
Erik Feldman,0.52,1.0,0.15,0.0,0.0,1.67,36
Barbara Davis,0.38,0.24,0.56,0.13,0.3,1.61,36
Maria Congleton,0.0,0.8,0.78,0.32,0.66,2.56,63
Belinda Sorrell,0.35,0.25,0.55,0.52,0.9,2.57,48
Phillip Walston,0.0,1.0,0.0,0.0,0.55,1.55,60
Nancy Galicia,0.29,1.0,0.0,0.42,0.6,2.31,56
Beth Sanders,0.32,0.99,1.0,0.23,0.0,2.54,55
Son Stringer,1.0,0.26,0.0,0.75,0.03,2.04,47
Annie Herbert,0.0,0.0,0.0,0.19,0.51,0.7,61
Cleotilde Reifsteck,0.37,0.06,0.36,0.0,0.65,1.44,50
Timothy Laws,0.62,0.37,0.82,0.37,0.51,2.69,38
Mary Orozco,0.43,0.43,0.14,1.0,0.0,2.0,41
Jerry Lee,0.89,0.26,0.64,0.46,0.0,2.25,39
Freddie Wells,0.0,0.69,0.54,0.0,0.32,1.55,67
Edgardo Horton,0.11,0.0,1.0,0.0,0.19,1.3,66
Chrystal Coleman,0.21,0.43,0.0,0.0,0.55,1.19,39
Linda Dupree,0.62,1.0,0.66,0.0,0.98,3.26,79
Gregory Lyons,0.44,0.41,0.23,0.84,0.94,2.86,91
Gregory Calhoun,0.8,0.8,0.99,0.13,1.0,3.72,97
Jan Wall,0.54,0.52,1.0,0.0,0.39,2.45,66
Tammi Kepley,0.0,0.37,0.0,0.15,0.46,0.98,57
Betty Robinson,0.0,0.0,0.41,0.57,0.49,1.47,51
James Schulz,0.61,0.72,0.0,0.62,0.0,1.95,39
Nilda Ross,0.28,0.23,0.66,0.01,1.0,2.18,48
Jorge Rodriguez,0.23,0.66,0.0,0.16,0.97,2.02,45
Terry Mckelvy,0.0,0.59,0.0,0.0,0.0,0.59,58
Gale Wesley,0.61,0.74,0.18,0.94,0.0,2.47,32
Michael Cronin,0.66,0.27,0.31,0.56,0.19,1.99,33
Elsie Calderon,0.91,0.0,1.0,0.77,1.0,3.68,78
Helen Cahn,1.0,0.0,0.0,0.73,0.24,1.97,60
Janice Wade,0.28,0.01,0.15,0.44,0.02,0.9,54
Beatrice Leggett,0.0,0.73,0.38,0.0,0.44,1.55,38
Sheryl Johnston,0.0,0.51,0.65,0.7,0.0,1.86,46
Janet Brubaker,0.93,0.64,0.24,0.0,0.0,1.81,54
Santiago Balling,1.0,0.0,0.94,0.71,1.0,3.65,92
Kareen Schoettmer,0.0,0.32,0.03,0.89,0.03,1.27,30
Zachary Silas,0.5,0.72,0.61,0.48,0.0,2.31,62
Jason Davis,0.37,0.29,0.0,0.5,0.19,1.35,63
John Doney,0.2,1.0,0.52,0.0,0.0,1.72,51
William Kemp,0.0,0.0,0.0,0.97,0.0,0.97,48
Theodore Lotton,0.11,0.52,0.74,0.74,0.39,2.5,45
Steven Kunkel,0.0,0.39,1.0,0.79,0.68,2.86,92
Salvatore Curtis,0.45,0.94,0.79,0.83,0.03,3.04,96
Cecil Garth,0.0,0.79,0.0,0.53,0.6,1.92,42
Robert Schultz,1.0,0.49,0.3,0.75,0.34,2.88,81
Robert Masino,0.21,0.22,0.68,0.17,0.57,1.85,34
Linda Lutwin,0.89,1.0,1.0,0.04,0.0,2.93,85
Hattie Murphy,0.25,0.69,0.7,1.0,0.7,3.34,75
Catherine Valentine,0.0,0.73,0.72,0.0,0.25,1.7,48
Marie Crawford,1.0,0.26,0.13,0.74,0.0,2.13,40
Cherilyn Gordon,0.0,0.14,0.51,1.0,0.87,2.52,45
Mark Jones,0.0,0.38,0.28,0.0,1.0,1.66,61
Antonio Weber,1.0,0.16,0.04,1.0,0.92,3.12,75
Jessie Helm,0.11,0.23,0.1,0.44,0.73,1.61,61
Mary Wallace,0.08,0.0,0.0,1.0,0.17,1.25,45
Oscar Solomon,0.52,0.8,0.53,0.16,0.0,2.01,47
Cheryl Bell,0.06,0.09,0.0,0.44,0.0,0.59,41
Lashay Carbaugh,0.76,1.0,0.79,0.0,0.0,2.55,40
Ella Griffin,0.07,0.11,0.76,0.0,0.0,0.94,43
Breanna Mcguire,0.41,0.26,1.0,0.16,0.86,2.69,34
Donna Reynolds,0.74,0.24,0.22,0.22,1.0,2.42,56
Justin Watlington,0.26,0.17,1.0,1.0,0.0,2.43,44
Doris Tillman,0.77,0.17,0.74,0.11,0.36,2.15,62
Mark Black,0.71,0.1,0.13,0.02,0.98,1.94,57
Sarah Iddings,0.62,0.93,0.43,0.9,0.23,3.11,88
Sook Golden,0.91,0.9,0.58,0.31,0.11,2.81,75
Sharon Mascagni,0.51,0.35,0.0,0.0,0.17,1.03,51
Robert Greenley,0.45,0.38,0.65,1.0,0.01,2.49,40
Melinda Leon,0.26,0.32,0.6,0.0,0.5,1.68,41
Rachel Reese,0.0,0.08,0.0,0.25,0.15,0.48,60
Terry Cluck,0.56,0.0,0.59,0.54,0.22,1.91,68
Jasmine Trinidad,0.11,0.92,0.0,0.51,0.71,2.25,54
Amber Jones,0.42,0.8,0.42,0.99,0.07,2.7,43
Nathan Raborn,0.0,0.22,0.66,1.0,0.01,1.89,66
Marie Hemberger,0.0,0.0,0.43,0.4,0.0,0.83,64
Chase Burgess,0.19,0.99,0.77,0.33,0.0,2.28,37
Effie Walther,1.0,0.19,0.0,0.62,0.26,2.07,39
Brenda Cantua,0.56,0.44,0.73,0.61,0.67,3.01,94
Alisa Torres,0.39,0.98,0.0,0.65,0.0,2.02,47
Nathan Nuss,0.85,1.0,0.63,1.0,0.0,3.48,97
Kimberly Ray,0.92,0.66,0.26,0.33,0.0,2.17,65
Melvin Martinez,0.83,0.5,0.19,0.0,0.93,2.45,52
Melanie Watts,0.61,0.34,0.63,0.17,0.0,1.75,33
Brandon Magana,0.45,0.5,0.82,0.11,0.0,1.88,53
Dorothy Rolon,0.56,0.45,1.0,0.0,0.47,2.48,35
Carl Novak,0.0,1.0,0.3,0.56,0.55,2.41,37
Nichole Cayea,0.84,0.0,0.0,0.46,0.37,1.67,30
Jessie Washington,0.37,0.25,0.0,0.09,1.0,1.71,36
Carolyn Yan,0.88,0.0,0.0,0.1,0.18,1.16,30
Charles Robinson,0.44,1.0,0.32,0.0,0.24,2.0,31
Pamela Whelan,0.0,0.87,0.41,0.88,1.0,3.16,70
James Banda,0.0,0.0,0.86,0.6,0.55,2.01,33
Elizabeth Tong,0.32,0.0,0.0,0.41,0.0,0.73,33
Mark Smith,0.19,0.0,0.0,0.3,0.38,0.87,38
Carmela Burton,0.25,0.3,0.0,0.16,0.09,0.8,38
Paul Leavins,0.0,0.42,0.13,0.66,1.0,2.21,49
Angel Mele,0.0,0.46,0.37,0.84,0.0,1.67,43
Brenda Richardson,0.93,0.59,0.6,0.75,0.33,3.2,86
Jon Ganser,0.21,0.04,0.01,0.71,0.0,0.97,48
Russell Phelps,0.15,0.2,0.0,0.0,0.69,1.04,61
Alicia Smith,0.4,0.0,0.27,0.0,0.17,0.84,55
Vera Toppa,0.94,0.0,0.84,0.59,0.95,3.32,83
Andrew Allen,0.0,0.0,0.11,0.45,0.97,1.53,50
Michael Collar,0.0,0.86,0.38,0.05,0.39,1.68,66
Eric Asakura,0.12,0.0,0.45,0.51,0.51,1.59,40
Melody Seggerman,0.4,0.0,0.0,1.0,0.65,2.05,35
Dwayne Everhart,0.34,0.03,0.93,0.0,0.0,1.3,42
Robert Barlow,0.58,0.9,0.2,1.0,0.25,2.93,74
Robert Lee,0.21,0.0,0.8,0.66,0.47,2.14,47
Gilbert Lack,0.51,1.0,0.0,0.69,0.82,3.02,90
Ann Bowman,0.0,0.79,0.78,1.0,0.7,3.27,71
Tony Wallace,0.35,0.95,0.0,0.61,0.48,2.39,66
Roger Huckabaa,0.66,0.34,0.0,0.49,0.0,1.49,33
Debora Lobur,1.0,0.98,0.21,0.21,0.37,2.77,85
Robin Williams,0.09,0.0,0.83,0.0,0.25,1.17,38
Charles Beale,0.0,0.19,1.0,0.2,0.32,1.71,37
Amy Stone,0.0,0.53,0.64,0.07,1.0,2.24,48
Charles Fraley,0.07,0.95,0.55,0.55,0.77,2.89,96
Gloria Emerson,0.37,0.02,0.9,0.5,0.76,2.55,59
Deanna Burton,0.0,0.1,0.23,1.0,0.0,1.33,31
Margaret Alston,1.0,0.37,1.0,0.39,0.75,3.51,78
Nan Labounty,0.75,0.78,0.0,0.02,0.74,2.29,39
Lesli Stern,1.0,0.37,0.35,0.0,0.32,2.04,56
Lydia Aragon,0.24,0.59,0.68,0.52,0.89,2.92,86
Bradley Penn,0.29,0.0,0.39,0.13,0.92,1.73,39
Christopher Henry,0.0,0.0,0.0,0.57,0.0,0.57,45
Mary Obryan,0.68,0.0,0.96,1.0,0.28,2.92,91
Jerry Hachting,0.54,0.87,0.08,0.1,0.79,2.38,62
Steve Xue,0.0,0.26,0.76,0.0,0.0,1.02,54
Donna Austin,0.44,0.13,0.0,1.0,0.0,1.57,37
Ann Delang,0.0,0.0,0.05,1.0,0.58,1.63,52
Craig Metzger,0.0,0.29,0.24,0.22,0.0,0.75,55
Brenda English,0.0,0.42,0.53,0.0,0.48,1.43,62
Erica Higgins,0.0,0.13,0.0,0.03,0.58,0.74,33
Keith Banks,0.33,0.45,0.2,0.82,0.0,1.8,31
Michael Schuette,0.55,0.52,0.0,0.0,1.0,2.07,50
Mary Wilson,0.5,0.19,0.0,0.7,1.0,2.39,51
Mitchel Combs,0.0,0.77,0.0,0.15,1.0,1.92,62
Darren Courter,0.0,0.0,0.0,0.0,0.95,0.95,66
Mary Mayers,0.94,0.74,0.51,0.68,0.0,2.87,71
William Payne,1.0,0.38,0.46,0.85,0.0,2.69,46
Louis Chapman,0.58,0.0,0.78,0.0,0.37,1.73,51
Robert Fish,0.53,0.37,0.0,0.45,0.0,1.35,41
Erick Malady,0.52,1.0,1.0,0.15,1.0,3.67,76
Harold Emily,0.48,0.59,0.46,0.0,0.11,1.64,48
Latoya Mason,0.0,0.7,0.46,0.61,0.38,2.15,57
Linda Maxwell,0.28,0.0,1.0,0.65,0.18,2.11,34
Brandy Schmidt,0.08,0.0,0.74,1.0,0.7,2.52,33
Evelyn Francis,0.52,0.38,0.08,0.37,0.0,1.35,35
Sarah Byrd,0.33,0.14,1.0,0.0,0.32,1.79,65
James Pullins,1.0,0.0,0.14,0.52,1.0,2.66,34
Jodi Montgomery,0.43,0.32,0.6,0.68,0.08,2.11,55
Dave Johnson,0.08,0.54,0.55,1.0,0.36,2.53,37
Jessica Nygaard,0.0,0.93,0.51,0.0,0.69,2.13,33
Adolph Brooks,0.54,0.61,0.0,0.38,0.0,1.53,56
Mildred Crofts,0.55,1.0,0.0,0.22,0.28,2.05,64
Evita Franklin,0.29,0.36,0.5,0.01,0.0,1.16,67
Oliver Husar,0.0,0.73,0.0,0.21,0.4,1.34,54
Gladys Barnette,0.33,0.44,0.72,0.0,0.53,2.02,56
Daniel Cabrera,0.0,0.9,0.91,0.0,0.02,1.83,38
Paul Pichardo,0.56,0.0,0.7,0.33,0.34,1.93,49
Peter Johnson,0.89,0.0,0.31,0.57,0.65,2.42,54
Douglas Lopez,0.0,0.37,0.58,0.0,0.16,1.11,33
Alexander Carlson,0.57,0.0,0.93,0.78,0.51,2.79,98
Dallas Royster,0.34,1.0,0.23,0.27,1.0,2.84,86
Gussie Foster,0.0,0.0,0.28,0.26,0.51,1.05,36
Jean White,0.21,0.1,0.59,0.65,0.73,2.28,68
Dave Wilkins,0.35,1.0,0.94,0.7,0.06,3.05,95
Naomi Morgan,1.0,0.79,0.46,1.0,0.2,3.45,85
Phyllis Robinson,0.95,0.88,0.61,0.45,0.6,3.49,74
Ricardo Caron,0.21,0.0,0.62,1.0,0.0,1.83,51
James Irving,0.98,1.0,1.0,0.0,0.12,3.1,80
Ray Jordan,0.0,0.81,0.19,0.05,0.86,1.91,40
Richelle Marshall,0.96,0.0,0.7,0.0,0.85,2.51,38
Ruth Mcneill,0.0,1.0,0.46,0.26,0.78,2.5,38
Catherine Brito,1.0,0.0,1.0,0.23,0.07,2.3,58
Janet Johnson,0.59,0.91,0.0,0.0,1.0,2.5,60
Brooke Rainey,0.56,0.51,0.05,1.0,0.76,2.88,95
Denis Baker,0.28,0.21,0.37,0.17,0.0,1.03,36
Elijah Hoy,0.0,0.0,0.52,0.0,0.13,0.65,44
William Dasilva,0.0,1.0,0.17,0.29,0.0,1.46,42
Idella Gilyard,0.81,0.34,0.0,0.06,0.14,1.35,43
Dale Millhiser,0.49,0.15,0.02,0.08,0.57,1.31,31
Cynthia Oakes,0.66,0.19,0.22,1.0,0.0,2.07,37
Jennie Gross,0.0,0.0,0.3,0.62,0.0,0.92,59
Alfredo Palmieri,0.29,0.06,0.11,0.36,0.06,0.88,40
Salvatore Shaw,0.49,0.65,0.19,0.33,0.47,2.13,59
Jon Pelton,0.28,0.62,0.0,0.21,0.04,1.15,49
Fiona Lawler,0.0,0.8,1.0,1.0,1.0,3.8,82
Mary Jayne,0.38,0.49,0.29,0.82,0.29,2.27,58
Christopher Campbell,0.4,0.07,0.42,0.24,1.0,2.13,48
Erin Walton,1.0,0.0,0.79,0.69,0.41,2.89,94
Randall Boyd,0.42,0.35,0.3,0.49,0.08,1.64,59
Jesse Killian,1.0,0.0,0.0,0.49,0.1,1.59,43
Joni Carp,0.06,0.38,0.66,0.39,0.41,1.9,43
Lee Chavez,0.32,1.0,0.08,0.85,0.7,2.95,81
Elton Spoor,0.0,0.1,1.0,0.58,0.62,2.3,58
Thomas Walker,0.57,0.66,0.2,0.6,0.55,2.58,33
Amanda Garcia,0.32,1.0,0.0,0.57,0.3,2.19,59
Alice Rivas,0.0,0.91,1.0,0.38,0.44,2.73,86
Travis Smith,0.0,0.71,0.0,0.4,0.59,1.7,45
Freda Shiroma,0.24,0.15,1.0,0.39,0.34,2.12,31
Marshall Reynolds,0.51,0.0,0.66,0.22,0.61,2.0,43
Dawn Kueny,0.0,0.0,1.0,0.42,0.55,1.97,51
Kimberly Follett,0.34,0.0,0.38,0.0,1.0,1.72,43
John Flynn,0.45,0.51,0.0,1.0,0.24,2.2,53
Michael Graves,0.95,0.73,0.96,0.0,0.0,2.64,38
Mary Storm,0.36,0.39,0.43,0.53,0.02,1.73,36
Nancy Wilson,0.55,0.22,0.0,0.7,0.79,2.26,51
Christian Martinez,0.53,0.51,1.0,0.57,0.84,3.45,71
Christine Mcmahon,0.38,0.82,0.35,0.0,0.4,1.95,33
Lisa Barber,0.97,0.61,1.0,1.0,0.0,3.58,78
John Lastra,0.52,0.68,0.15,1.0,0.0,2.35,40
Gabriela Clark,0.0,0.0,1.0,0.82,0.15,1.97,58
Kelly Eckhardt,0.0,0.12,0.55,0.01,0.52,1.2,60
Wesley Freeman,0.0,0.33,0.0,0.9,0.0,1.23,45
Edgar Davidson,0.13,0.93,0.95,0.0,0.45,2.46,49
Alex Gomez,0.0,0.78,0.0,0.16,0.89,1.83,61
William Barber,0.52,0.43,0.03,1.0,0.0,1.98,33
William Tirado,1.0,0.14,0.58,0.06,0.0,1.78,47
Helen Shultz,0.63,0.39,1.0,0.0,0.77,2.79,92
Charles Anderson,0.52,0.0,0.77,0.47,0.89,2.65,52
Cindi Ayala,0.99,0.27,0.11,0.0,0.0,1.37,61
Rita Conley,0.22,0.95,0.29,1.0,0.34,2.8,74
Jerome Rogers,0.39,0.03,0.56,1.0,0.58,2.56,39
Judith Steele,0.22,0.58,0.0,1.0,0.01,1.81,51
Ricardo Shoemaker,0.5,0.3,0.59,0.29,0.15,1.83,36
James Bustamante,0.0,0.15,0.08,1.0,0.2,1.43,67
Samuel Northcutt,0.0,0.5,0.0,0.58,0.0,1.08,64
George Rogers,0.0,0.0,0.0,0.83,0.19,1.02,37
Charles Tugwell,1.0,0.53,1.0,0.19,0.78,3.5,78
Jan Gerveler,0.05,0.23,0.0,1.0,0.48,1.76,39
Milagros Dodd,0.5,0.67,0.65,0.49,0.0,2.31,50
Louise Austin,0.29,1.0,0.3,0.64,0.48,2.71,72
Patrick Keele,0.7,0.71,0.0,1.0,0.1,2.51,47
Earl Duran,0.92,0.67,0.39,0.58,0.54,3.1,75
Dolores Mace,0.74,0.67,0.08,0.72,0.0,2.21,62
Jean Zimmerman,0.73,1.0,0.0,0.23,0.0,1.96,51
Michele Palmer,0.86,0.0,0.96,0.0,0.39,2.21,47
Tammy Braun,0.6,1.0,0.18,0.95,0.9,3.63,97
Steve Guzman,0.56,0.11,0.78,0.88,0.08,2.41,60
William Beegle,0.0,0.64,0.44,0.32,0.0,1.4,36
Reginald Tucker,0.32,0.0,1.0,0.45,0.5,2.27,60
Deborah Peters,0.44,0.14,0.63,0.59,0.69,2.49,36
Lana Kindig,0.62,0.05,0.54,0.65,0.53,2.39,64
Jeremy Vang,0.08,0.86,0.86,0.89,0.52,3.21,71
Joyce Wicks,0.0,1.0,0.3,0.96,0.0,2.26,50
Marian Parr,0.41,0.81,0.65,0.95,0.0,2.82,86
Lois Bartelson,0.87,0.0,0.08,0.18,0.0,1.13,53
Robert Camire,0.24,0.48,0.07,0.0,0.86,1.65,56
Patrick Gilmore,0.0,0.03,0.0,0.7,1.0,1.73,35
Roger Cambell,0.07,0.57,0.49,0.02,1.0,2.15,53
Alexandria Wright,0.86,0.18,0.0,0.17,0.63,1.84,57
Michael Mcclellan,0.56,0.51,0.24,0.05,1.0,2.36,61
Mable Stevens,1.0,0.0,0.6,0.56,0.59,2.75,85
Kevin Say,0.0,0.0,0.94,0.0,0.2,1.14,52
Tara Woods,0.52,0.09,0.0,0.39,1.0,2.0,39
Maria Richmond,0.0,1.0,0.0,0.61,0.0,1.61,33
Brooke Melton,0.0,0.0,0.93,0.59,0.52,2.04,38
Samuel Meadows,0.53,0.7,0.0,0.11,0.46,1.8,60
James Campbell,0.17,0.09,0.3,0.34,0.58,1.48,50
Jason Hadden,0.5,1.0,0.94,0.49,0.47,3.4,94
Andrea Lien,1.0,0.7,0.0,1.0,0.0,2.7,30
Gordon Harrison,0.25,0.0,0.39,0.59,0.85,2.08,42
Mary Hester,0.66,0.23,0.87,0.6,0.33,2.69,40
Bruce Biancardi,0.2,0.0,0.98,0.36,0.45,1.99,50
Martha Landford,0.74,0.67,0.0,0.74,1.0,3.15,93
Charles Bullock,0.31,0.06,1.0,0.9,0.82,3.09,96
James Mcdade,0.0,0.74,0.3,0.81,0.34,2.19,44
Jose Nase,0.14,0.0,0.0,0.05,0.21,0.4,52
Angela Garcia,0.29,0.41,0.5,0.0,0.0,1.2,36
Kristin Savage,0.55,0.0,0.42,0.18,0.91,2.06,58
Gregory Lykins,1.0,0.32,0.63,0.84,0.03,2.82,75
Gerald Lay,0.52,1.0,0.27,1.0,0.37,3.16,95
Wanda Lewis,0.0,0.0,0.76,0.44,1.0,2.2,66
Stephen Stovall,0.19,0.09,0.0,0.41,0.0,0.69,41
Charles Knight,0.5,1.0,0.43,0.39,0.6,2.92,92
Rachel Cecchini,0.34,0.36,0.92,1.0,0.21,2.83,80
Earnest Horne,0.0,0.2,0.41,0.03,0.41,1.05,61
Jessica Foster,0.09,0.32,0.13,0.78,0.0,1.32,31
Denna Edwards,0.58,0.4,0.08,0.82,0.71,2.59,41
Christen Stauffer,0.1,0.3,1.0,0.36,1.0,2.76,85
William Harley,0.25,0.37,0.0,0.67,0.24,1.53,61
Evelyn Gibbs,0.0,0.6,0.78,0.98,0.57,2.93,78
Alice Shouse,0.0,0.39,0.02,1.0,0.43,1.84,59
Frank Williams,0.3,0.0,1.0,0.26,0.0,1.56,41
Jeff Moore,0.09,0.82,0.13,0.1,0.58,1.72,48
Mark Culbertson,0.0,0.24,0.59,0.23,1.0,2.06,68
Vicki Luna,0.71,0.64,0.94,0.92,1.0,4.21,93
Julie Carter,0.23,1.0,0.11,0.41,0.37,2.12,37
Mary Bishop,0.59,0.0,0.75,0.71,0.0,2.05,31
Frances Orcutt,0.39,0.79,0.64,0.0,0.0,1.82,35
Rosa Espinosa,0.37,0.69,1.0,0.0,0.62,2.68,62
Lula Stalling,0.39,0.43,0.43,0.0,0.0,1.25,58
Sarah Smith,1.0,1.0,0.52,0.33,1.0,3.85,95
Stephen Kirchoff,0.0,0.0,0.33,0.86,0.3,1.49,31
Margaret Fuller,0.48,0.46,0.0,0.0,1.0,1.94,62
Laura Morrison,0.44,0.74,0.81,0.34,0.0,2.33,60
John Roberts,0.0,0.85,0.41,0.29,0.23,1.78,51
Detra Caldwell,0.36,1.0,1.0,1.0,0.0,3.36,84
Karen Coffell,1.0,0.0,1.0,0.74,0.0,2.74,81
Kathleen Cormier,1.0,0.0,1.0,0.05,0.23,2.28,68
Miguel Moran,0.5,0.06,0.91,0.0,0.0,1.47,41
James Bonneau,0.7,0.0,0.0,0.25,0.08,1.03,61
Lucille Ramirez,0.28,1.0,0.82,0.23,0.96,3.29,75
Lee Morrison,0.81,1.0,0.0,0.0,0.0,1.81,36
